Dataset	Embedding	Hidden Dimension	Seed	Best Val Metric	Test Metric	Parameter Count	Max Memory	Run Time
location	BC	32	2	0.7908224076281287	0.5612244897959183	87402	138.359375	24.263777494430542
location	BC	32	4	0.8021454112038141	0.5510204081632653	87402	138.359375	19.301085948944092
location	BC	32	8	0.7961859356376639	0.5510204081632653	87402	138.359375	16.56222939491272
location	BC	32	16	0.8087008343265792	0.5775510204081633	87402	138.359375	16.73577332496643
location	BC	32	32	0.7961859356376639	0.5653061224489796	87402	138.359375	16.09518265724182
location	BD	32	2	0.834326579261025	0.6122448979591837	56938	95.8876953125	14.976011276245117
location	BD	32	4	0.8295589988081049	0.6	56938	95.8876953125	16.061194896697998
location	BD	32	8	0.833134684147795	0.6	56938	95.8876953125	13.908561944961548
location	BD	32	16	0.83373063170441	0.6081632653061224	56938	95.8876953125	13.981122016906738
location	BD	32	32	0.8301549463647199	0.6122448979591837	56938	95.8876953125	14.099317789077759
location	BE	32	2	0.8539928486293206	0.6306122448979592	69994	114.08984375	16.160664081573486
location	BE	32	4	0.8492252681764004	0.6387755102040816	69994	114.08984375	15.59807276725769
location	BE	32	8	0.8498212157330155	0.6510204081632653	69994	114.08984375	16.87434220314026
location	BE	32	16	0.8438617401668653	0.6306122448979592	69994	114.08984375	16.03479290008545
location	BE	32	32	0.8468414779499404	0.6489795918367347	69994	114.08984375	16.9149386882782
location	BF	32	2	0.8933253873659118	0.7040816326530612	87402	138.359375	18.648290395736694
location	BF	32	4	0.8921334922526818	0.7040816326530612	87402	138.359375	16.808886528015137
location	BF	32	8	0.899880810488677	0.6979591836734694	87402	138.359375	16.85442304611206
location	BF	32	16	0.899880810488677	0.6918367346938775	87402	138.359375	17.190718173980713
location	BF	32	32	0.9034564958283671	0.726530612244898	87402	138.359375	16.694453239440918
location	BG	32	2	0.7902264600715138	0.573469387755102	87402	138.359375	18.580096006393433
location	BG	32	4	0.799761620977354	0.573469387755102	87402	138.359375	14.629128217697144
location	BG	32	8	0.8212157330154947	0.5816326530612245	87402	138.359375	17.592620611190796
location	BG	32	16	0.8057210965435042	0.5775510204081633	87402	138.359375	15.84819221496582
location	BG	32	32	0.7967818831942789	0.5775510204081633	87402	138.359375	16.276766300201416
location	CD	32	2	0.8241954707985697	0.6061224489795919	39530	71.6181640625	14.77820110321045
location	CD	32	4	0.8271752085816448	0.6306122448979592	39530	71.6181640625	14.473223447799683
location	CD	32	8	0.8271752085816448	0.6142857142857143	39530	71.6181640625	13.208271026611328
location	CD	32	16	0.8140643623361145	0.5877551020408164	39530	71.6181640625	13.552019119262695
location	CD	32	32	0.8188319427890346	0.6183673469387755	39530	71.6181640625	15.545923709869385
